Data     , Mesaj
17/06/22 , Postare fara JS
30/06/22 , Imbunatatiri+teme noi
25/06/22 , Patru board-uri noi: /t/ /m/ /vm/ si /qa/
12/05/22 , Implementare RSS/Atom feed
29/04/22 , Implementare blotter in pagina principala
28/04/22 , Adaugare view-uri multiple (Mod catalog si Mod infinit)
24/02/22 , Redesign interfata plus /vip/ si /txt/
20/04/22 , Trei board-uri noi: /v/ /dsp/ si /tg/
17/04/22 , Serverul s-a stricat... reimplementare de la zero
16/04/22 , Prima versiune 9canal!
14/12/21 , Creare pagina blotter
